Country	Region	Country Code	Currency Code	Currency Name	Area/City Code	When to Apply the Area/CityCode
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN414	Yan'an-Shaanxi
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN415	Weinan-Shaanxi
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN416	Luzhou-Sichuan
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN417	Mianyang-Sichuan
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN418	Panzhihua-Sichuan
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN419	Deyang-Sichuan
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN420	Neijiang-Sichuan
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN421	Leshan-Sichuan
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN422	Nanchong-Sichuan
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN423	Yibin-Sichuan
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN424	Dazhou-Sichuan
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN425	Ziyang-Sichuan
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN426	Qujing-Yunan
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN427	Yuxi-Yunan
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN999	Rest of the Country
Colombia	Latin America	COL	COP	Colombia Peso	CO001	Bogota
Colombia	Latin America	COL	COP	Colombia Peso	CO002	Medellín
Colombia	Latin America	COL	COP	Colombia Peso	CO003	Cali
Colombia	Latin America	COL	COP	Colombia Peso	CO004	Barranquilla
Colombia	Latin America	COL	COP	Colombia Peso	CO005	Cartagena
Colombia	Latin America	COL	COP	Colombia Peso	CO006	Costa Atlántica
Colombia	Latin America	COL	COP	Colombia Peso	CO007	Cundinamarca
Colombia	Latin America	COL	COP	Colombia Peso	CO008	Eje Cafetero
Colombia	Latin America	COL	COP	Colombia Peso	CO009	Antioquia
Colombia	Latin America	COL	COP	Colombia Peso	CO010	Valle
Colombia	Latin America	COL	COP	Colombia Peso	CO999	Rest of the Country
Congo	Africa	COG	XAF	CFA Franc BEAC	CG000	No region codes
Costa Rica	Latin America	CRI	CRC	Costa Rica Colon	CR001	San Jose
Costa Rica	Latin America	CRI	CRC	Costa Rica Colon	CR999	Rest of the Country
Côte d'Ivoire (Ivory Coast)	Africa	CIV	XOF	CFA Franc BCEAO	CI000	No region codes
Croatia	Central & Eastern Europe	HRV	EUR	Euro	HR001	Zagreb & Area
Croatia	Central & Eastern Europe	HRV	EUR	Euro	HR999	Rest of the Country
Curaçao	Latin America	CUW	USD	United States Dollar	CW000	No region codes
Cyprus	Middle East	CYP	EUR	Euro	CY000	No region codes
Czechia	Central & Eastern Europe	CZE	CZK	Czechia Koruna	CZ001	Prague
Czechia	Central & Eastern Europe	CZE	CZK	Czechia Koruna	CZ002	Bohemia (excluding Prague)
Czechia	Central & Eastern Europe	CZE	CZK	Czechia Koruna	CZ003	Brno
Czechia	Central & Eastern Europe	CZE	CZK	Czechia Koruna	CZ004	Moravia (excluding Brno)
Czechia	Central & Eastern Europe	CZE	CZK	Czechia Koruna	CZ999	Rest of the Country
Democratic Republic of the Congo (DR Congo)	Africa	COD	CDF	Congo Franc	CD000	No region codes
Denmark	Western Europe	DNK	DKK	Denmark Krone	DK001	Copenhagen and area
Denmark	Western Europe	DNK	DKK	Denmark Krone	DK002	Aarhus
Denmark	Western Europe	DNK	DKK	Denmark Krone	DK999	Rest of the Country
Dominican Republic	Latin America	DOM	DOP	Dominican Republic Peso	DO000	No region codes
Ecuador	Latin America	ECU	USD	United States Dollar	EC000	No region codes
Egypt	Middle East	EGY	EGP	Egypt Pound	EG001	Cairo
Egypt	Middle East	EGY	EGP	Egypt Pound	EG002	Alexandria
Egypt	Middle East	EGY	EGP	Egypt Pound	EG999	Rest of the Country
El Salvador	Latin America	SLV	USD	United States Dollar	SV000	No region codes
Equatorial Guinea	Africa	GNQ	XAF	CFA Franc BEAC	GQ000	No region codes
Estonia	Central & Eastern Europe	EST	EUR	Euro	EE001	Tallinn and area
Estonia	Central & Eastern Europe	EST	EUR	Euro	EE999	Rest of the Country
Eswatini	Africa	SWZ	SZL	Eswatini Lilangeni	SZ000	No region codes
Ethiopia	Africa	ETH	ETB	Ethiopia Birr	ET000	No region codes
Finland	Western Europe	FIN	EUR	Euro	FI001	Helsinki and area
Finland	Western Europe	FIN	EUR	Euro	FI999	Rest of the Country
France	Western Europe	FRA	EUR	Euro	FR001	Ile de France: Paris and area
France	Western Europe	FRA	EUR	Euro	FR002	Bretagne Normandie & Centre: Rennes, Nantes
France	Western Europe	FRA	EUR	Euro	FR003	North-North East: Lille, Strasbourg, Besançon
France	Western Europe	FRA	EUR	Euro	FR004	South East: Lyon, Marseille, Montpellier
France	Western Europe	FRA	EUR	Euro	FR005	South West: Bordeaux, Aquitaine 
France	Western Europe	FRA	EUR	Euro	FR006	Grand Toulouse (Midi Pyrénées)
France	Western Europe	FRA	EUR	Euro	FR007	Sophia-Antipolis
France	Western Europe	FRA	EUR	Euro	FR008	DOM-TOM
France	Western Europe	FRA	EUR	Euro	FR999	Rest of the Country
Gabon	Africa	GAB	XAF	CFA Franc BEAC	GA000	No region codes
Georgia	Central & Eastern Europe	GEO	GEL	Georgia Lari	GE001	Tbilisi
Georgia	Central & Eastern Europe	GEO	GEL	Georgia Lari	GE999	Rest of the Country
Germany	Western Europe	DEU	EUR	Euro	DE001	Berlin
Germany	Western Europe	DEU	EUR	Euro	DE002	Baden-Württemberg
Germany	Western Europe	DEU	EUR	Euro	DE003	Bavaria (Bayern)
Germany	Western Europe	DEU	EUR	Euro	DE004	Brandenburg
Germany	Western Europe	DEU	EUR	Euro	DE005	Bremen
Germany	Western Europe	DEU	EUR	Euro	DE006	Hamburg
Germany	Western Europe	DEU	EUR	Euro	DE007	Hesse (Hessen)
Germany	Western Europe	DEU	EUR	Euro	DE008	Mecklenburg-Vorpommern
Germany	Western Europe	DEU	EUR	Euro	DE009	Lower Saxony (Niedersachsen)
Germany	Western Europe	DEU	EUR	Euro	DE010	North Rhine-Westphalia (Nordrhein-Westfalen)
Germany	Western Europe	DEU	EUR	Euro	DE011	Rhineland-Palatinate (Rheinland-Pfalz)
Germany	Western Europe	DEU	EUR	Euro	DE012	Saarland
Germany	Western Europe	DEU	EUR	Euro	DE013	Saxony (Sachsen)
Germany	Western Europe	DEU	EUR	Euro	DE014	Saxony-Anhalt (Sachsen-Anhalt)
Germany	Western Europe	DEU	EUR	Euro	DE015	Schleswig-Holstein
Germany	Western Europe	DEU	EUR	Euro	DE016	Thuringia (Thüringen)
Germany	Western Europe	DEU	EUR	Euro	DE999	Rest of the Country
Ghana	Africa	GHA	GHS	Ghana Cedi	GH000	No region codes
Gibraltar	Western Europe	GIB	GIP	Gibraltar Pound	GI000	No region codes
Greece	Western Europe	GRC	EUR	Euro	GR001	Athens and area
Greece	Western Europe	GRC	EUR	Euro	GR002	Thessaloniki
Greece	Western Europe	GRC	EUR	Euro	GR999	Rest of the Country
Guatemala	Latin America	GTM	GTQ	Guatemala Quetzal	GT000	No region codes
Guinea	Africa	GIN	GNF	Guinea Franc	GN000	No region codes
Guinea-Bissau	Africa	GNB	XOF	CFA Franc BCEAO	GU000	No region codes
Holy See (Vatican City State)	Western Europe	VAT	EUR	Euro	VA000	No region codes
Honduras	Latin America	HND	HNL	Honduras Lempira	HN000	No region codes
Hong Kong SAR	Asia Pacific	HKG	HKD	Hong Kong Dollar	HK000	Hong Kong
Hungary	Central & Eastern Europe	HUN	HUF	Hungary Forint	HU001	Budapest
Hungary	Central & Eastern Europe	HUN	HUF	Hungary Forint	HU002	Western Hungary
Hungary	Central & Eastern Europe	HUN	HUF	Hungary Forint	HU003	Eastern Hungary
Hungary	Central & Eastern Europe	HUN	HUF	Hungary Forint	HU999	Rest of the Country
Iceland	Western Europe	ISL	ISK	Iceland Krona	IS000	No region codes
India	Asia Pacific	IND	INR	India Rupee	IN001	Ahmedabad
India	Asia Pacific	IND	INR	India Rupee	IN002	Bengaluru
India	Asia Pacific	IND	INR	India Rupee	IN003	Kolkata
India	Asia Pacific	IND	INR	India Rupee	IN004	Chandigarh
India	Asia Pacific	IND	INR	India Rupee	IN005	Chennai
India	Asia Pacific	IND	INR	India Rupee	IN006	Hyderabad
India	Asia Pacific	IND	INR	India Rupee	IN007	Jaipur
India	Asia Pacific	IND	INR	India Rupee	IN008	Kochi
India	Asia Pacific	IND	INR	India Rupee	IN009	Lucknow
India	Asia Pacific	IND	INR	India Rupee	IN010	Mumbai
India	Asia Pacific	IND	INR	India Rupee	IN011	Nagpur
India	Asia Pacific	IND	INR	India Rupee	IN012	NCR
India	Asia Pacific	IND	INR	India Rupee	IN013	Pune
India	Asia Pacific	IND	INR	India Rupee	IN014	Trivandrum
India	Asia Pacific	IND	INR	India Rupee	IN999	Rest of the Country
Indonesia	Asia Pacific	IDN	IDR	Indonesia Rupiah	ID001	Nangroe Aceh Darussalam
Indonesia	Asia Pacific	IDN	IDR	Indonesia Rupiah	ID002	Sumatera Utara
Indonesia	Asia Pacific	IDN	IDR	Indonesia Rupiah	ID003	Sumatera Barat
Indonesia	Asia Pacific	IDN	IDR	Indonesia Rupiah	ID004	Riau
Indonesia	Asia Pacific	IDN	IDR	Indonesia Rupiah	ID005	Kepulauan Riau
Indonesia	Asia Pacific	IDN	IDR	Indonesia Rupiah	ID006	Kepulauan Bangka Belitung
Indonesia	Asia Pacific	IDN	IDR	Indonesia Rupiah	ID007	Jambi
Indonesia	Asia Pacific	IDN	IDR	Indonesia Rupiah	ID008	Sumatera Selatan
Indonesia	Asia Pacific	IDN	IDR	Indonesia Rupiah	ID009	Bengkulu
Indonesia	Asia Pacific	IDN	IDR	Indonesia Rupiah	ID010	Lampung
Indonesia	Asia Pacific	IDN	IDR	Indonesia Rupiah	ID011	DKI Jakarta
Indonesia	Asia Pacific	IDN	IDR	Indonesia Rupiah	ID012	Jawa Barat
Indonesia	Asia Pacific	IDN	IDR	Indonesia Rupiah	ID013	Banten
Indonesia	Asia Pacific	IDN	IDR	Indonesia Rupiah	ID014	Jawa Tengah
Indonesia	Asia Pacific	IDN	IDR	Indonesia Rupiah	ID015	DI Yogyakarta
Indonesia	Asia Pacific	IDN	IDR	Indonesia Rupiah	ID016	Jawa Timur
Indonesia	Asia Pacific	IDN	IDR	Indonesia Rupiah	ID017	Kalimantan Barat
Indonesia	Asia Pacific	IDN	IDR	Indonesia Rupiah	ID018	Kalimantan Tengah
Indonesia	Asia Pacific	IDN	IDR	Indonesia Rupiah	ID019	Kalimantan Utara
Indonesia	Asia Pacific	IDN	IDR	Indonesia Rupiah	ID020	Kalimantan Timur
Indonesia	Asia Pacific	IDN	IDR	Indonesia Rupiah	ID021	Kalimantan Selatan
Indonesia	Asia Pacific	IDN	IDR	Indonesia Rupiah	ID022	Bali
Indonesia	Asia Pacific	IDN	IDR	Indonesia Rupiah	ID023	Nusa Tenggara Barat
Indonesia	Asia Pacific	IDN	IDR	Indonesia Rupiah	ID024	Nusa Tenggara Timur
Indonesia	Asia Pacific	IDN	IDR	Indonesia Rupiah	ID025	Sulawesi Utara
Indonesia	Asia Pacific	IDN	IDR	Indonesia Rupiah	ID026	Gorontalo
Indonesia	Asia Pacific	IDN	IDR	Indonesia Rupiah	ID027	Sulawesi Tengah
Indonesia	Asia Pacific	IDN	IDR	Indonesia Rupiah	ID028	Sulawesi Barat
Indonesia	Asia Pacific	IDN	IDR	Indonesia Rupiah	ID029	Sulawesi Selatan
Indonesia	Asia Pacific	IDN	IDR	Indonesia Rupiah	ID030	Sulawesi Tenggara
Indonesia	Asia Pacific	IDN	IDR	Indonesia Rupiah	ID031	Maluku Utara
Indonesia	Asia Pacific	IDN	IDR	Indonesia Rupiah	ID032	Maluku
Indonesia	Asia Pacific	IDN	IDR	Indonesia Rupiah	ID033	Papua Barat
Indonesia	Asia Pacific	IDN	IDR	Indonesia Rupiah	ID034	Papua / Irian Jaya
Indonesia	Asia Pacific	IDN	IDR	Indonesia Rupiah	ID999	Rest of the Country
Iran	Middle East	IRN	IRR	Iran Rial	IR001	Tehran and Karaj
Iran	Middle East	IRN	IRR	Iran Rial	IR002	Free Trade and Industrial Zones and Special Interest Zones (Assaluyeh, Mahshahr, etc.)
Iran	Middle East	IRN	IRR	Iran Rial	IR003	Rest of the Country
Iraq	Middle East	IRQ	IQD	Iraq Dinar	IQ001	Central Iraq (Baghdad)
Iraq	Middle East	IRQ	IQD	Iraq Dinar	IQ002	Northern Iraq (Erbil)
Iraq	Middle East	IRQ	IQD	Iraq Dinar	IQ003	Southern Iraq (Basra)
Iraq	Middle East	IRQ	IQD	Iraq Dinar	IQ999	Rest of the Country
Ireland	Western Europe	IRL	EUR	Euro	IE001	Dublin and area
Ireland	Western Europe	IRL	EUR	Euro	IE002	South: Cork, Limerick, Waterford
Ireland	Western Europe	IRL	EUR	Euro	IE999	Rest of the Country
Israel	Middle East	ISR	ILS	Israel Shekel	IL001	Tel Aviv
Israel	Middle East	ISR	ILS	Israel Shekel	IL999	Rest of the Country
Italy	Western Europe	ITA	EUR	Euro	IT001	Milan
Italy	Western Europe	ITA	EUR	Euro	IT002	North West (Piemonte, Liguria, Valle d'Aosta, Lombardia - excluding Milan)
Italy	Western Europe	ITA	EUR	Euro	IT003	North East (Veneto, Trentino Alto-Adige, Friuli, Emilia-Romagna)
Italy	Western Europe	ITA	EUR	Euro	IT004	Rome
Italy	Western Europe	ITA	EUR	Euro	IT005	Centre (Toscany, Umbria, Abruzzo, Molise, Marche, Lazio - excluding Rome)
Italy	Western Europe	ITA	EUR	Euro	IT006	South and Islands (Calabria, Campania, Basilicata, Puglia, Sicily, Sardegna)
Italy	Western Europe	ITA	EUR	Euro	IT999	Rest of the Country
Jamaica	Latin America	JAM	USD	United States Dollar	JA000	No region codes
Japan	Asia Pacific	JPN	JPY	Japan Yen	JP001	Central Tokyo-Within 23 wards
Japan	Asia Pacific	JPN	JPY	Japan Yen	JP002	Metropolitan area and Osaka: City area of Tokyo, Kanagawa-Ken, Saitama-Ken, Chiba-Ken and Osaka-Fu
Japan	Asia Pacific	JPN	JPY	Japan Yen	JP003	Major cities-Sapporo, Sendai, Shizuoka, Nagoya, Kyoto, Kobe, Hiroshima, Kita-Kyusyu and Fukuoka
Japan	Asia Pacific	JPN	JPY	Japan Yen	JP999	Rest of the Country
Jordan	Middle East	JOR	JOD	Jordan Dinar	JO000	No region codes
Kazakhstan	Central & Eastern Europe	KAZ	KZT	Kazakhstan Tenge	KZ001	Almaty
Kazakhstan	Central & Eastern Europe	KAZ	KZT	Kazakhstan Tenge	KZ002	Nur-Sultan
Kazakhstan	Central & Eastern Europe	KAZ	KZT	Kazakhstan Tenge	KZ003	Southern Area: Shymkent, Taraz, Taldykorgan
Kazakhstan	Central & Eastern Europe	KAZ	KZT	Kazakhstan Tenge	KZ005	Caspian Sea Region: (Atyrau, West Kazakhstan, Mangistay and Aktobe regions)
Kazakhstan	Central & Eastern Europe	KAZ	KZT	Kazakhstan Tenge	KZ006	Aral Sea Region: (Kyzylorda and some parts of Aktobe and South Kazakhstan regions
Kazakhstan	Central & Eastern Europe	KAZ	KZT	Kazakhstan Tenge	KZ999	Rest of the Country
Kenya	Africa	KEN	KES	Kenya Shilling	KE000	No region codes
Kosovo	Central & Eastern Europe	XKX	EUR	Euro	XK000	No region codes
Kuwait	Middle East	KWT	KWD	Kuwait Dinar	KW000	No region codes
Lao People's Democratic Republic	Asia Pacific	LAO	LAK	Laos Kip	LA000	No region codes
Latvia	Central & Eastern Europe	LVA	EUR	Euro	LV001	Riga and area
Latvia	Central & Eastern Europe	LVA	EUR	Euro	LV999	Rest of the Country
Lebanon	Middle East	LBN	LBP	Lebanon Pound	LB000	No region codes
Lesotho	Africa	LSO	LSL	Lesotho Loti	LS000	No region codes
Libya	Africa	LBY	LYD	Libya Dinar	LY000	No region codes
Lithuania	Central & Eastern Europe	LTU	EUR	Euro	LT001	Vilnius and area
Lithuania	Central & Eastern Europe	LTU	EUR	Euro	LT999	Rest of the Country
Luxembourg	Western Europe	LUX	EUR	Euro	LU000	No region codes
Macau SAR	Asia Pacific	MAC	MOP	Macau Pataca	MO000	No region codes
Madagascar	Africa	MDG	MGA	Madagascar Ariary	MG000	No region codes
Malawi	Africa	MWI	MWK	Malawi Kwacha	MW000	No region codes
Malaysia	Asia Pacific	MYS	MYR	Malaysia Ringgit	MY001	Kuala Lumpur
Malaysia	Asia Pacific	MYS	MYR	Malaysia Ringgit	MY002	Penang
Malaysia	Asia Pacific	MYS	MYR	Malaysia Ringgit	MY003	Johor
Malaysia	Asia Pacific	MYS	MYR	Malaysia Ringgit	MY004	Selangor
Malaysia	Asia Pacific	MYS	MYR	Malaysia Ringgit	MY005	Sarawak
Malaysia	Asia Pacific	MYS	MYR	Malaysia Ringgit	MY006	Sabah
Malaysia	Asia Pacific	MYS	MYR	Malaysia Ringgit	MY007	Labuan
Malaysia	Asia Pacific	MYS	MYR	Malaysia Ringgit	MY008	Putrajaya
Malaysia	Asia Pacific	MYS	MYR	Malaysia Ringgit	MY009	Malacca
Malaysia	Asia Pacific	MYS	MYR	Malaysia Ringgit	MY010	Perak
Malaysia	Asia Pacific	MYS	MYR	Malaysia Ringgit	MY011	Kelantan
Malaysia	Asia Pacific	MYS	MYR	Malaysia Ringgit	MY012	Pahang
Malaysia	Asia Pacific	MYS	MYR	Malaysia Ringgit	MY013	Kedah
Malaysia	Asia Pacific	MYS	MYR	Malaysia Ringgit	MY014	Negeri Sembilan
Malaysia	Asia Pacific	MYS	MYR	Malaysia Ringgit	MY015	Terengganu
Malaysia	Asia Pacific	MYS	MYR	Malaysia Ringgit	MY016	Perlis
Mali	Africa	MLI	XOF	CFA Franc BCEAO	ML000	No region codes
Malta	Western Europe	MLT	EUR	Euro	MT000	No region codes
Mauritius	Africa	MUS	MUR	Mauritius Rupee	MU000	No region codes
Mexico	Latin America	MEX	MXN	Mexico Peso	MX010	Zona Metropolitana Valle de México
Mexico	Latin America	MEX	MXN	Mexico Peso	MX020	Toluca, Mex.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX030	Monterrey, N.L.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX040	Nuevo Leon (sin Monterrey), N.L.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX050	Guadalajara, Jal.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX060	Zapopan, Jal.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX070	Puerto Vallarta, Jal.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX080	León, Gto.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX090	Celaya, Gto.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX100	Irapuato, Gto.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX110	Silao, Gto.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX120	Guanajuato, Gto.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX130	Queretaro, Qro.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX140	San Luis Potosi, S.L.P.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX150	Aguascalientes, Ags.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX160	Puebla, Pue.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX170	Zacatecas, Zac.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX180	Morelia, Mich.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX190	Pachuca, Hgo.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX200	Cuernavaca, Mor.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX210	Acapulco, Gro.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX220	Veracruz, Ver.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX230	Coatzacoalcos, Ver.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX240	Xalapa, Ver.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX250	Campeche, Camp.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX260	Tuxla Gutierrez, Chis.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX270	Oaxaca, Oax.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX280	Cancún, Q. Roo.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX290	Villahermosa, Tab.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX300	Mérida, Yuc.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX310	Saltillo, Coah.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX320	Torreon, Coah.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX330	Ramos Arizpe, Coah.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX340	Piedras Negras, Coah.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX350	Matamoros, Tamps.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX360	Nuevo Laredo, Tamps.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX370	Reynosa, Tamps.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX380	Tampico, Tamps.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX390	Cd. Victoria, Tamps.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX400	Cd. Juarez, Chih.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX410	Chihuahua, Chih.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX420	Tepic, Nay.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX430	Hermosillo, Son.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX440	Nogales, Son.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX450	Cd. Obregón, Son.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX460	Culiacan, Sin.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX470	Mazatlán, Sin.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX480	Mexicali, B.C.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX490	Tijuana, B.C.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX500	Ensenada, B.C.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX510	La Paz, B.C.S.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX520	Los Cabos, B.C.S.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX530	Colima, Col.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX540	Durango, Dgo.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX550	Tlaxcala, Tlax.
Mexico	Latin America	MEX	MXN	Mexico Peso	MX999	Rest of the Country
Moldova	Central & Eastern Europe	MDA	MDL	Moldova Leu	MD001	Chi?in?u
Moldova	Central & Eastern Europe	MDA	MDL	Moldova Leu	MD999	Rest of the Country
Monaco	Western Europe	MCO	EUR	Euro	MC000	No region codes
Mongolia	Asia Pacific	MNG	MNT	Mongolia Tughrik	MN000	No region codes
Montenegro	Central & Eastern Europe	MNE	EUR	Euro	ME001	Podgorica
Montenegro	Central & Eastern Europe	MNE	EUR	Euro	ME999	Rest of the Country
Morocco	Africa	MAR	MAD	Morocco Dirham	MA000	No region codes
Mozambique	Africa	MOZ	MZN	Mozambique Metical	MZ000	No region codes
Myanmar	Asia Pacific	MMR	MMK	Myanman (Burma) Kyat	MM000	No region codes
Namibia	Africa	NAM	NAD	Namibia Dollar	NA000	No region codes
Nepal	Asia Pacific	NPL	NPR	Nepal Rupee	NP000	No region codes
Netherlands	Western Europe	NLD	EUR	Euro	NL001	Randstad - Amsterdam, Rotterdam, The Hague, Utrecht, Almere, Amersfoort, Haarlem
Netherlands	Western Europe	NLD	EUR	Euro	NL002	Europoort: Rotterdam Harbour Area
Netherlands	Western Europe	NLD	EUR	Euro	NL003	South: e.g., Breda, Den Bosch, Maastricht, Eindhoven
Netherlands	Western Europe	NLD	EUR	Euro	NL004	East: e.g., Almelo, Apeldoorn, Doetinchem, Ede, Enschede, Nijmegen
Netherlands	Western Europe	NLD	EUR	Euro	NL005	North: e.g., Assen, Emmeloord, Groningen, Leeuwarden, Zwolle
Netherlands	Western Europe	NLD	EUR	Euro	NL999	Rest of the Country: e.g., Alkmaar, Den Helder, Dordrecht, Hoorn, Lelystad, Middelburg
New Zealand	Asia Pacific	NZL	NZD	New Zealand Dollar	NZ001	Auckland
New Zealand	Asia Pacific	NZL	NZD	New Zealand Dollar	NZ002	Christchurch
New Zealand	Asia Pacific	NZL	NZD	New Zealand Dollar	NZ003	Wellington
New Zealand	Asia Pacific	NZL	NZD	New Zealand Dollar	NZ999	Rest of the Country
Nicaragua	Latin America	NIC	NIO	Nicaragua Cordoba	NI000	No region codes
Niger	Africa	NER	XOF	CFA Franc BCEAO	NR000	No region codes
Nigeria	Africa	NGA	NGN	Nigeria Naira	NG000	No region codes
North Macedonia	Central & Eastern Europe	MKD	MKD	North Macedonia Denar	MK001	Skopje
North Macedonia	Central & Eastern Europe	MKD	MKD	North Macedonia Denar	MK999	Rest of the Country
Norway	Western Europe	NOR	NOK	Norway Krone	NO001	Oslo and area
Norway	Western Europe	NOR	NOK	Norway Krone	NO002	Stavanger
Norway	Western Europe	NOR	NOK	Norway Krone	NO999	Rest of the Country
Oman	Middle East	OMN	OMR	Oman Rial	OM000	No region codes
Pakistan	Asia Pacific	PAK	PKR	Pakistan Rupee	PK001	Islamabad, Karachi
Pakistan	Asia Pacific	PAK	PKR	Pakistan Rupee	PK999	Rest of the Country
Panama	Latin America	PAN	USD	United States Dollar	PA000	No region codes
Papua New Guinea	Asia Pacific	PNG	PGK	Papua New Guinea Kina	PG000	No region codes
Paraguay	Latin America	PRY	PYG	Paraguay Guarani	PY000	No region codes
Peru	Latin America	PER	PEN	Peru Nuevo Sol	PE001	Lima
Peru	Latin America	PER	PEN	Peru Nuevo Sol	PE999	Rest of the Country
Philippines	Asia Pacific	PHL	PHP	Philippines Peso	PH003	National Capital Region (NCR)
Philippines	Asia Pacific	PHL	PHP	Philippines Peso	PH004	Cordillera Administrative Region (CAR)
Philippines	Asia Pacific	PHL	PHP	Philippines Peso	PH005	Ilocos
Philippines	Asia Pacific	PHL	PHP	Philippines Peso	PH006	Cagayan Valley
Philippines	Asia Pacific	PHL	PHP	Philippines Peso	PH007	Central Luzon
Philippines	Asia Pacific	PHL	PHP	Philippines Peso	PH008	Calabarzon
Philippines	Asia Pacific	PHL	PHP	Philippines Peso	PH009	Mimaropa
Philippines	Asia Pacific	PHL	PHP	Philippines Peso	PH010	Bicol
Philippines	Asia Pacific	PHL	PHP	Philippines Peso	PH011	Western Visayas
Philippines	Asia Pacific	PHL	PHP	Philippines Peso	PH012	Central Visayas
Philippines	Asia Pacific	PHL	PHP	Philippines Peso	PH013	Eastern Visayas
Philippines	Asia Pacific	PHL	PHP	Philippines Peso	PH014	Zamboanga Peninsula
Philippines	Asia Pacific	PHL	PHP	Philippines Peso	PH015	Northern Mindanao
Philippines	Asia Pacific	PHL	PHP	Philippines Peso	PH016	Davao
Philippines	Asia Pacific	PHL	PHP	Philippines Peso	PH017	Soccsksargen
Philippines	Asia Pacific	PHL	PHP	Philippines Peso	PH018	Caraga
Philippines	Asia Pacific	PHL	PHP	Philippines Peso	PH019	Armm
Philippines	Asia Pacific	PHL	PHP	Philippines Peso	PH999	Rest of the Country
Poland	Central & Eastern Europe	POL	PLN	Poland Zloty	PL001	Central Warsaw
Poland	Central & Eastern Europe	POL	PLN	Poland Zloty	PL002	Warsaw Region
Poland	Central & Eastern Europe	POL	PLN	Poland Zloty	PL003	Kraków
Poland	Central & Eastern Europe	POL	PLN	Poland Zloty	PL004	Poznan
