Country	Region	Country Code	Currency Code	Currency Name	Area/City Code	When to Apply the Area/CityCode
Brazil	Latin America	BRA	BRL	Brazil Real	BR500	Southeast - São Paulo (São Paulo City Metropolitan Area)
Brazil	Latin America	BRA	BRL	Brazil Real	BR620	Southeast - São Paulo (Campinas and Sorocaba Regions)
Brazil	Latin America	BRA	BRL	Brazil Real	BR630	Southeast - São Paulo (Vale do Paraíba Region)
Brazil	Latin America	BRA	BRL	Brazil Real	BR650	Southeast - São Paulo (Baixada Santista Region)
Brazil	Latin America	BRA	BRL	Brazil Real	BR690	Southeast - São Paulo (Other Countryside Cities)
Brazil	Latin America	BRA	BRL	Brazil Real	BR700	Southeast - Rio de Janeiro (Rio de Janeiro City Metropolitan Area)
Brazil	Latin America	BRA	BRL	Brazil Real	BR720	Southeast - Rio de Janeiro (Macaé Region)
Brazil	Latin America	BRA	BRL	Brazil Real	BR721	Southeast - Rio de Janeiro (Other Countryside Cities)
Brazil	Latin America	BRA	BRL	Brazil Real	BR810	South - Paraná (Curitiba Metropolitan Area)
Brazil	Latin America	BRA	BRL	Brazil Real	BR811	South - Paraná (except Curitiba Metropolitan Area)
Brazil	Latin America	BRA	BRL	Brazil Real	BR850	South - Santa Catarina
Brazil	Latin America	BRA	BRL	Brazil Real	BR860	South - Rio Grande do Sul (Porto Alegre Metropolitan Area)
Brazil	Latin America	BRA	BRL	Brazil Real	BR861	South - Rio Grande do Sul (except Porto Alegre Metropolitan Area)
Brunei	Asia Pacific	BRN	BND	Brunei Darussalam Dollar	BN000	No region codes
Bulgaria	Central & Eastern Europe	BGR	BGN	Bulgaria Lev	BG001	Sofia and area
Bulgaria	Central & Eastern Europe	BGR	BGN	Bulgaria Lev	BG999	Rest of the Country
Burkina Faso	Africa	BFA	XOF	CFA Franc BCEAO	BF000	No region codes
Burundi	Africa	BDI	BIF	Burundi Franc	BI000	No region codes
Cambodia	Asia Pacific	KHM	KHR	Cambodia Riel	KH000	No region codes
Cameroon	Africa	CMR	XAF	CFA Franc BEAC	CM000	No region codes
Canada	North America	CAN	CAD	Canada Dollar	----	Report Postal code
Central African Republic	Africa	CAF	XAF	CFA Franc BEAC	CF000	No region codes
Chad	Africa	TCD	XAF	CFA Franc BEAC	TC000	No region codes
Chile	Latin America	CHL	CLP	Chile Peso	CL001	Metropolitan Region (Santiago)
Chile	Latin America	CHL	CLP	Chile Peso	CL002	I Region of Tarapacá
Chile	Latin America	CHL	CLP	Chile Peso	CL003	II Region of Antofagasta
Chile	Latin America	CHL	CLP	Chile Peso	CL004	III Region of Atacama
Chile	Latin America	CHL	CLP	Chile Peso	CL005	IV Region of Coquimbo
Chile	Latin America	CHL	CLP	Chile Peso	CL006	V Region of Valparaiso
Chile	Latin America	CHL	CLP	Chile Peso	CL007	VI Region of O´Higgins
Chile	Latin America	CHL	CLP	Chile Peso	CL008	VII Region of Maule
Chile	Latin America	CHL	CLP	Chile Peso	CL009	VIII Region of Bio-Bio
Chile	Latin America	CHL	CLP	Chile Peso	CL010	IX Region of Araucanía
Chile	Latin America	CHL	CLP	Chile Peso	CL011	X Region of Lagos
Chile	Latin America	CHL	CLP	Chile Peso	CL012	XI Region of Aysén
Chile	Latin America	CHL	CLP	Chile Peso	CL013	XII Region of Magallanes y Antártica
Chile	Latin America	CHL	CLP	Chile Peso	CL014	XIV Region of Ríos
Chile	Latin America	CHL	CLP	Chile Peso	CL015	XV Region of Arica y Parinacota
Chile	Latin America	CHL	CLP	Chile Peso	CL016	XVI Region of Ñuble
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN001	Beijing
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN002	Shanghai
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN003	Shenzhen-Guangdong
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN004	Guangzhou-Guangdong
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN005	Tianjin
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN006	Chongqing
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN101	Shijiazhuang-Hebei
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN102	Harbin-Heilongjiang
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN103	Zhengzhou-Henan
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN104	Hohhot-Inner Mongolia
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN105	Changchun-Jilin
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN106	Shenyang-Liaoning
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN107	Taiyuan-Shanxi
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN108	Tangshan-Hebei
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN109	Handan-Hebei
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN110	Cangzhou-Hebei
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN111	Baoding-Hebei
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN112	Langfang-Hebei
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN113	Qinhuangdao-Hebei
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN114	Xingtai-Hebei
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN115	Zhangjiakou-Hebei
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN116	Chengde-Hebei
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN117	Hengshui-Hebei
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN118	Daqing-Heilongjiang
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN119	Qiqihar-Heilongjiang
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN120	Mudanjiang-Heilongjiang
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN121	Suihua-Heilongjiang
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN122	Luoyang-Henan
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN123	Nanyang-Henan
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN124	Xuchang-Henan
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN125	Zhoukou-Henan
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN126	Xinxiang-Henan
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN127	Jiaozuo-Henan
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN128	Xinyang-Henan
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN129	Pingdingshan-Henan
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN130	Anyang-Henan
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN131	Shangqiu-Henan
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN132	Zhumadian-Henan
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN133	Kaifeng-Henan
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN134	Sanmenxia-Henan
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN135	Erdos-Inner Mongolia
China	Asia Pacific	CHN	CNY	China Yuan Renminbi	CN136	Baotou-Inner Mongolia
